ID,Hashrate,Reward
0,243136,3
1,265087,2
2,268297,5
3,445482,9
4,306064,4
5,202583,0
6,326404,2
7,410496,8
8,273685,2
9,429098,7
10,367142,3
11,244293,4
12,248661,4
13,446139,6
14,338376,6
15,288446,5
16,172899,2
17,237885,3
18,376688,4
19,234953,2
20,106880,2
21,366818,4
22,215421,3
23,342656,6
24,95307,2
25,203719,1
26,176295,4
27,173432,0
28,359484,6
29,255938,5
30,381488,3
31,209404,8
32,353597,8
33,225992,5
34,388804,3
35,229885,5
36,414113,5
37,355384,3
38,129732,3
39,365140,4
40,281958,3
41,70877,1
42,245286,2
43,453531,3
44,323960,6
45,282019,6
46,331425,7
47,236944,5
48,330999,5
49,326609,5
50,324301,5
51,329622,9
52,402082,2
53,371760,2
54,242672,3
55,163653,4
56,300630,3
57,206962,4
58,214891,2
59,230701,4
60,471155,6
61,375538,6
62,369634,11
63,324517,6
64,352176,4
65,425864,7
66,408599,8
67,427887,6
68,239156,3
69,365252,5
70,326122,3
71,285804,6
72,519356,10
73,307363,4
74,291953,2
75,316983,5
76,358270,2
77,414813,4
78,340600,4
79,214027,4
80,321546,4
81,482856,7
82,380483,4
83,308535,5
84,359634,5
85,166173,1
86,128440,1
87,355712,5
88,253577,4
89,285902,6
90,292795,6
91,466601,9
92,208297,2
93,188089,0
94,345466,7
95,345855,6
96,255915,4
97,298460,8
98,509285,13
99,310288,7
100,134608,0
101,381497,7
102,202824,6
103,169816,1
104,403343,5
105,200255,3
106,296209,4
107,416664,7
108,321514,6
109,310370,2
110,179442,2
111,270947,5
112,319585,3
113,184946,2
114,393022,1
115,273780,1
116,247197,3
117,284970,7
118,245605,2
119,80949,2
120,203906,3
121,201136,4
122,193825,7
123,309554,4
124,273189,7
125,326166,5
126,134544,3
127,223345,2
128,290325,6
129,372511,7
130,131784,1
131,244650,1
132,466149,12
133,390800,7
134,379151,8
135,332959,2
136,203653,5
137,336132,6
138,296806,9
139,294785,4
140,363015,4
141,308037,2
142,359301,4
143,237752,4
144,281035,3
145,490463,6
146,433033,4
147,139474,0
148,474032,6
149,295174,8
150,390260,4
151,191029,2
152,301528,1
153,232500,4
154,163918,4
155,167552,1
156,446633,9
157,205626,1
158,293095,5
159,232629,8
160,166031,4
161,111665,1
162,228169,5
163,131824,2
164,314456,3
165,466803,10
166,238397,6
167,235525,0
168,274187,4
169,174198,4
170,209683,2
171,396760,3
172,323239,2
173,716308,5
174,340498,2
175,349705,7
176,219938,3
177,441818,11
178,300600,2
179,382303,1
180,277058,7
181,472229,8
182,293074,1
183,265801,3
184,296051,5
185,478037,8
186,223021,4
187,395681,5
188,169442,2
189,196154,5
190,265104,8
191,459510,6
192,309731,6
193,164646,2
194,325804,2
195,140999,3
196,239620,3
197,268198,5
198,339062,4
199,309418,4
200,104144,3
201,471930,8
202,331298,5
203,301455,4
204,380306,6
205,292401,7
206,344768,3
207,322918,3
208,268651,3
209,488837,4
210,601913,15
211,373166,2
212,288070,7
213,89801,0
214,192707,1
215,164301,4
216,265092,4
217,358992,2
218,441118,8
219,334553,3
220,371381,7
221,118863,1
222,332232,8
223,382361,6
224,257243,7
225,240195,0
226,268355,4
227,169040,0
228,231291,3
229,363418,6
230,149932,1
231,372136,3
232,214953,3
233,373948,7
234,253083,6
235,264106,6
236,365486,8
237,246592,1
238,307183,4
239,421583,5
240,324584,5
241,247789,2
242,112573,1
243,80899,1
244,294682,4
245,353951,6
246,309528,5
247,325262,5
248,298829,2
249,273531,2
250,496247,5
251,325732,6
252,175059,3
253,234180,5
254,351193,4
255,402889,9
256,314303,5
257,155332,4
258,222087,2
259,142098,1
260,152563,1
261,413900,7
262,256029,2
263,260824,5
264,320054,2
265,164855,5
266,291883,8
267,338252,3
268,494228,5
269,449616,6
270,270820,4
271,124865,2
272,329413,7
273,419721,4
274,271090,3
275,115078,6
276,239784,2
277,418695,3
278,499814,9
279,324105,5
280,360767,6
281,332894,4
282,303085,2
283,375597,5
284,230446,2
285,455204,6
286,272877,8
287,266274,2
288,202921,3
289,414949,6
290,304770,3
291,275769,8
292,370571,4
293,502698,5
294,200896,3
295,329492,7
296,345152,6
297,437316,7
298,378311,5
299,343107,4
300,329090,6
301,178821,0
302,229151,5
303,154574,4
304,201872,2
305,138968,2
